antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Fill_Level_Underfilled,Impact_Events","Damaged,Packaging_Type_Encoded",0.2,0.145,0.065,0.325,2.241379310344828,1.0,0.036000000000000004,1.2666666666666666,0.6923076923076923,0.23214285714285718,0.2105263157894737,0.3866379310344828
Dropped,Damaged,0.145,0.19,0.06,0.41379310344827586,2.1778584392014517,1.0,0.03245,1.3817647058823528,0.6325536062378168,0.2181818181818182,0.27628778203490845,0.3647912885662432
Fill_Level_Underfilled,"Damaged,Packaging_Type_Encoded",0.255,0.145,0.08,0.3137254901960784,2.1636240703177823,1.0,0.043025,1.2458571428571428,0.7218959731543624,0.25,0.19733975461529643,0.4327248140635565
"Fill_Level_Underfilled,Impact_Events",Damaged,0.2,0.19,0.08,0.39999999999999997,2.1052631578947367,1.0,0.041999999999999996,1.3499999999999999,0.6562499999999999,0.25806451612903225,0.2592592592592592,0.41052631578947363
Fill_Level_Underfilled,"Damaged,Impact_Events",0.255,0.15,0.08,0.3137254901960784,2.0915032679738563,1.0,0.04175,1.2385714285714284,0.700503355704698,0.24615384615384614,0.19261822376009227,0.4235294117647059
"Fill_Level_Underfilled,Humidity_Level_Low",Damaged,0.13,0.19,0.05,0.38461538461538464,2.0242914979757085,1.0,0.025300000000000003,1.31625,0.5816091954022988,0.18518518518518517,0.2402659069325736,0.32388663967611336
"Fill_Level_Underfilled,Impact_Events,Packaging_Type_Encoded",Damaged,0.17,0.19,0.065,0.38235294117647056,2.0123839009287923,1.0,0.0327,1.3114285714285714,0.6061167747914736,0.22033898305084748,0.23747276688453153,0.3622291021671826
Fill_Level_Underfilled,Damaged,0.255,0.19,0.095,0.37254901960784315,1.9607843137254901,1.0,0.04655,1.2909375,0.6577181208053691,0.27142857142857146,0.22536916000968288,0.4362745098039216
"Fill_Level_Underfilled,Packaging_Type_Encoded",Damaged,0.225,0.19,0.08,0.35555555555555557,1.8713450292397662,1.0,0.03725,1.2568965517241382,0.6008064516129031,0.23880597014925373,0.20438957475994513,0.3883040935672515
"Impact_Events,Stacking_High",Damaged,0.265,0.19,0.08,0.3018867924528302,1.5888778550148956,1.0,0.029649999999999996,1.1602702702702703,0.504251700680272,0.21333333333333335,0.13813184253435823,0.36146971201588873
